------------------------------------------------ INICIALIZADO O APRENDIZADO ------------------------------------------------ 
----------------------------------------------------------------------------------------------------------------------------
---------------------------------------------- TABELA DO ESTADO :1--------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------
Estado    Acao      Destino   Valor     Acao      Destino   Valor     Acao      Destino   Valor     Acao      Destino   Valor     
10        Esquerda    7           8,100     Direita     10          6,561     Cima        19          6,561     Baixo       -1          0,000     
11        Esquerda    9           7,290     Direita     37          5,905     Cima        -1          0,000     Baixo       38          7,290     
12        Esquerda    8           9,000     Direita     -1          0,000     Cima        38          7,290     Baixo       12          7,290     
13        Esquerda    -1          0,000     Direita     13          6,561     Cima        11          8,100     Baixo       15          6,561     
14        Esquerda    12          7,290     Direita     -1          0,000     Cima        14          6,561     Baixo       -1          0,000     
15        Esquerda    38          7,290     Direita     -1          0,000     Cima        16          5,905     Baixo       13          6,561     
16        Esquerda    0           7,290     Direita     -1          0,000     Cima        12          7,290     Baixo       -1          0,000     
17        Esquerda    39          5,314     Direita     -1          0,000     Cima        -1          0,000     Baixo       14          6,561     
18        Esquerda    19          6,561     Direita     39          5,314     Cima        18          5,905     Baixo       -1          0,000     
19        Esquerda    40          6,561     Direita     -1          0,000     Cima        31          5,314     Baixo       17          5,905     
20        Esquerda    20          7,290     Direita     17          5,905     Cima        -1          0,000     Baixo       9           7,290     
21        Esquerda    21          6,561     Direita     19          6,561     Cima        40          6,561     Baixo       7           8,100     
22        Esquerda    23          5,905     Direita     20          7,290     Cima        22          5,905     Baixo       -1          0,000     
23        Esquerda    -1          0,000     Direita     40          6,561     Cima        -1          0,000     Baixo       21          6,561     
24        Esquerda    25          5,314     Direita     21          6,561     Cima        24          5,314     Baixo       -1          0,000     
25        Esquerda    26          4,783     Direita     -1          0,000     Cima        -1          0,000     Baixo       23          5,905     
26        Esquerda    -1          0,000     Direita     23          5,905     Cima        26          4,783     Baixo       -1          0,000     
27        Esquerda    28          4,305     Direita     24          5,314     Cima        -1          0,000     Baixo       25          5,314     
28        Esquerda    30          3,487     Direita     -1          0,000     Cima        28          4,305     Baixo       -1          0,000     
29        Esquerda    29          3,874     Direita     26          4,783     Cima        -1          0,000     Baixo       27          3,874     
30        Esquerda    -1          0,000     Direita     28          4,305     Cima        -1          0,000     Baixo       30          3,487     
31        Esquerda    -1          0,000     Direita     27          3,874     Cima        29          3,874     Baixo       -1          0,000     
32        Esquerda    32          4,783     Direita     -1          0,000     Cima        36          4,783     Baixo       18          5,905     
33        Esquerda    -1          0,000     Direita     31          5,314     Cima        33          4,305     Baixo       -1          0,000     
34        Esquerda    34          3,874     Direita     -1          0,000     Cima        35          4,305     Baixo       32          4,783     
35        Esquerda    -1          0,000     Direita     33          4,305     Cima        -1          0,000     Baixo       -1          0,000     
36        Esquerda    -1          0,000     Direita     36          4,783     Cima        -1          0,000     Baixo       33          4,305     
